datetime,predicted_price
2022-05-18 18:00:00,284.09677
2022-05-18 19:00:00,278.2355
2022-05-18 20:00:00,273.64853
2022-05-18 21:00:00,274.21732
2022-05-18 22:00:00,276.07834
2022-05-18 23:00:00,292.19727
2022-05-19 00:00:00,131.50668
2022-05-19 01:00:00,303.28296
2022-05-19 02:00:00,312.47702
2022-05-19 03:00:00,312.7593
2022-05-19 04:00:00,317.1214
2022-05-19 05:00:00,323.05194
2022-05-19 06:00:00,331.1938
2022-05-19 07:00:00,302.8561
2022-05-19 08:00:00,297.9702
2022-05-19 09:00:00,300.75735
2022-05-19 10:00:00,309.08328
2022-05-19 11:00:00,330.43198
2022-05-19 12:00:00,316.86307
2022-05-19 13:00:00,289.1498
2022-05-19 14:00:00,311.5544
2022-05-19 15:00:00,326.20908
2022-05-19 16:00:00,328.54642
2022-05-19 17:00:00,303.12408
2022-05-19 18:00:00,320.7559
2022-05-19 19:00:00,278.22604
2022-05-19 20:00:00,322.81537
2022-05-19 21:00:00,318.80316
2022-05-19 22:00:00,323.03552
2022-05-19 23:00:00,311.83594
2022-05-20 00:00:00,106.422325
2022-05-20 01:00:00,313.21713
2022-05-20 02:00:00,308.9238
2022-05-20 03:00:00,312.5324
2022-05-20 04:00:00,314.38528
2022-05-20 05:00:00,326.6792
2022-05-20 06:00:00,303.73563
2022-05-20 07:00:00,319.434
2022-05-20 08:00:00,313.77347
2022-05-20 09:00:00,296.3821
2022-05-20 10:00:00,319.04822
2022-05-20 11:00:00,319.8366
2022-05-20 12:00:00,320.62823
2022-05-20 13:00:00,320.60025
2022-05-20 14:00:00,325.03595
2022-05-20 15:00:00,319.3867
2022-05-20 16:00:00,324.22556
2022-05-20 17:00:00,328.67755
2022-05-20 18:00:00,305.8491
2022-05-20 19:00:00,319.69525
2022-05-20 20:00:00,331.59503
2022-05-20 21:00:00,318.45508
2022-05-20 22:00:00,299.8026
2022-05-20 23:00:00,268.97903
2022-05-21 00:00:00,52.08497
2022-05-21 01:00:00,242.16331
2022-05-21 02:00:00,225.57518
2022-05-21 03:00:00,244.25783
2022-05-21 04:00:00,222.24278
2022-05-21 05:00:00,239.0373
2022-05-21 06:00:00,233.24405
2022-05-21 07:00:00,237.88371
2022-05-21 08:00:00,245.26689
2022-05-21 09:00:00,249.02054
2022-05-21 10:00:00,231.96692
2022-05-21 11:00:00,249.05376
2022-05-21 12:00:00,251.63895
2022-05-21 13:00:00,267.6508
2022-05-21 14:00:00,263.83008
2022-05-21 15:00:00,270.8137
2022-05-21 16:00:00,260.69748
2022-05-21 17:00:00,265.4651
2022-05-21 18:00:00,281.18256
2022-05-21 19:00:00,313.97034
2022-05-21 20:00:00,305.486
2022-05-21 21:00:00,340.9604
2022-05-21 22:00:00,337.28754
2022-05-21 23:00:00,327.0099
2022-05-22 00:00:00,101.6843
2022-05-22 01:00:00,282.50198
2022-05-22 02:00:00,277.5882
2022-05-22 03:00:00,298.4432
2022-05-22 04:00:00,298.1076
2022-05-22 05:00:00,281.8008
2022-05-22 06:00:00,290.95215
2022-05-22 07:00:00,294.7858
2022-05-22 08:00:00,281.2134
2022-05-22 09:00:00,284.98013
2022-05-22 10:00:00,270.92996
2022-05-22 11:00:00,263.20825
2022-05-22 12:00:00,263.01398
2022-05-22 13:00:00,272.7818
2022-05-22 14:00:00,243.50644
2022-05-22 15:00:00,296.62155
2022-05-22 16:00:00,318.07343
2022-05-22 17:00:00,326.54166
2022-05-22 18:00:00,342.38916
2022-05-22 19:00:00,337.65448
2022-05-22 20:00:00,331.45856
2022-05-22 21:00:00,315.83197
2022-05-22 22:00:00,313.2168
2022-05-22 23:00:00,329.97018
2022-05-23 00:00:00,117.39324
2022-05-23 01:00:00,304.91635
2022-05-23 02:00:00,304.67508
2022-05-23 03:00:00,297.22778
2022-05-23 04:00:00,303.1857
2022-05-23 05:00:00,305.51114
2022-05-23 06:00:00,295.34637
2022-05-23 07:00:00,284.526
2022-05-23 08:00:00,284.5543
2022-05-23 09:00:00,284.45804
2022-05-23 10:00:00,270.1405
2022-05-23 11:00:00,256.06534
2022-05-23 12:00:00,258.30576
2022-05-23 13:00:00,277.6477
2022-05-23 14:00:00,262.46457
2022-05-23 15:00:00,275.5737
2022-05-23 16:00:00,272.24808
2022-05-23 17:00:00,283.93735
2022-05-23 18:00:00,285.39496
2022-05-23 19:00:00,262.52484
2022-05-23 20:00:00,249.88574
2022-05-23 21:00:00,251.9143
2022-05-23 22:00:00,263.38422
2022-05-23 23:00:00,263.68
2022-05-24 00:00:00,93.720245
2022-05-24 01:00:00,240.48677
2022-05-24 02:00:00,279.062
2022-05-24 03:00:00,282.6353
2022-05-24 04:00:00,282.9263
2022-05-24 05:00:00,283.2346
2022-05-24 06:00:00,304.1688
2022-05-24 07:00:00,295.0018
2022-05-24 08:00:00,295.924
2022-05-24 09:00:00,295.79498
2022-05-24 10:00:00,293.3401
2022-05-24 11:00:00,293.82675
2022-05-24 12:00:00,279.80374
2022-05-24 13:00:00,290.2127
2022-05-24 14:00:00,273.94736
2022-05-24 15:00:00,289.73187
2022-05-24 16:00:00,292.96674
2022-05-24 17:00:00,273.8663
2022-05-24 18:00:00,271.17545
2022-05-24 19:00:00,291.78217
2022-05-24 20:00:00,313.47562
2022-05-24 21:00:00,314.03262
2022-05-24 22:00:00,299.59982
2022-05-24 23:00:00,291.40738
2022-05-25 00:00:00,137.98564
2022-05-25 01:00:00,311.22897
2022-05-25 02:00:00,312.05328
2022-05-25 03:00:00,309.32935
2022-05-25 04:00:00,314.79187
2022-05-25 05:00:00,320.537
2022-05-25 06:00:00,313.18878
2022-05-25 07:00:00,320.7433
2022-05-25 08:00:00,294.9622
2022-05-25 09:00:00,323.6973
2022-05-25 10:00:00,324.216
2022-05-25 11:00:00,331.08865
2022-05-25 12:00:00,289.9588
2022-05-25 13:00:00,302.4834
2022-05-25 14:00:00,300.71158
2022-05-25 15:00:00,288.0789
2022-05-25 16:00:00,292.5152
2022-05-25 17:00:00,309.6919
2022-05-25 18:00:00,298.7455
2022-05-25 19:00:00,294.04285
2022-05-25 20:00:00,292.05344
2022-05-25 21:00:00,288.23447
2022-05-25 22:00:00,278.42902
2022-05-25 23:00:00,275.85355
2022-05-26 00:00:00,33.497906
2022-05-26 01:00:00,234.94489
2022-05-26 02:00:00,240.42047
2022-05-26 03:00:00,231.28197
2022-05-26 04:00:00,231.31126
2022-05-26 05:00:00,239.6229
2022-05-26 06:00:00,242.78853
2022-05-26 07:00:00,248.66331
2022-05-26 08:00:00,254.25172
2022-05-26 09:00:00,257.22003
2022-05-26 10:00:00,239.00755
2022-05-26 11:00:00,234.55794
2022-05-26 12:00:00,258.34814
2022-05-26 13:00:00,227.7165
2022-05-26 14:00:00,250.8212
2022-05-26 15:00:00,251.24773
2022-05-26 16:00:00,262.1487
2022-05-26 17:00:00,256.08066
2022-05-26 18:00:00,266.31592
2022-05-26 19:00:00,273.12793
2022-05-26 20:00:00,273.10632
2022-05-26 21:00:00,275.96915
2022-05-26 22:00:00,248.73456
2022-05-26 23:00:00,232.86789
2022-05-27 00:00:00,17.296755
2022-05-27 01:00:00,233.00058
2022-05-27 02:00:00,228.21495
2022-05-27 03:00:00,226.85782
2022-05-27 04:00:00,225.23929
2022-05-27 05:00:00,201.61508
2022-05-27 06:00:00,239.93951
2022-05-27 07:00:00,237.16982
2022-05-27 08:00:00,244.84445
2022-05-27 09:00:00,243.32426
2022-05-27 10:00:00,240.74
2022-05-27 11:00:00,231.76152
2022-05-27 12:00:00,213.71533
2022-05-27 13:00:00,219.89902
2022-05-27 14:00:00,258.54086
2022-05-27 15:00:00,264.05783
2022-05-27 16:00:00,252.97672
2022-05-27 17:00:00,251.50136
2022-05-27 18:00:00,248.96835
2022-05-27 19:00:00,250.93503
2022-05-27 20:00:00,242.47287
2022-05-27 21:00:00,259.49683
2022-05-27 22:00:00,247.92764
2022-05-27 23:00:00,241.98186
2022-05-28 00:00:00,33.94388
2022-05-28 01:00:00,211.54152
2022-05-28 02:00:00,226.72969
2022-05-28 03:00:00,226.41931
2022-05-28 04:00:00,227.84607
2022-05-28 05:00:00,224.10521
2022-05-28 06:00:00,220.2685
2022-05-28 07:00:00,226.47945
2022-05-28 08:00:00,243.07957
2022-05-28 09:00:00,247.6275
2022-05-28 10:00:00,228.58415
2022-05-28 11:00:00,256.42334
2022-05-28 12:00:00,262.3147
2022-05-28 13:00:00,262.57358
2022-05-28 14:00:00,261.09912
2022-05-28 15:00:00,242.22865
