date,Clean Spark Spread,Clean Dark Spread
2021-01-01,-4.93,-5.92
2021-01-02,-3.27,-6.04
2021-01-03,-15.72,-18.24
2021-01-04,-6.83,-6.99
2021-01-05,4.46,1.01
2021-01-06,2.36,-2.22
2021-01-07,16.77,14.88
2021-01-08,22.32,22.04
2021-01-09,2.05,1.04
2021-01-10,-6.36,-6.03
2021-01-11,-11.63,-8.01
2021-01-12,-22.02,-10.11
2021-01-13,-15.65,-12.97
2021-01-14,13.08,15.23
2021-01-15,18.04,18.98
2021-01-16,1.74,0.09
2021-01-17,0.65,-1.76
2021-01-18,3.35,2.04
2021-01-19,-10.64,-10.22
2021-01-20,-19.36,-18.79
2021-01-21,-25.63,-26.01
2021-01-22,-15.9,-13.7
2021-01-23,-5.72,-6.26
2021-01-24,-7.28,-8.52
2021-01-25,5.38,5.42
2021-01-26,7.22,5.79
2021-01-27,3.53,2.35
2021-01-28,-1.77,-0.96
2021-01-29,-7.02,-5.69
2021-01-30,-6.39,-8.39
2021-01-31,-4.8,-8.14
2021-02-01,6.27,3.34
2021-02-02,2.3,-1.44
2021-02-03,-7.81,-13.75
2021-02-04,-0.88,-6.21
2021-02-05,-2.32,-7.56
2021-02-06,-18.57,-24.42
2021-02-07,-36.82,-41.55
2021-02-08,-13.92,-15.8
2021-02-09,9.15,5.44
2021-02-10,17.7,12.36
2021-02-11,27.41,19.99
2021-02-12,9.38,1.67
2021-02-13,1.22,-8.95
2021-02-14,-5.35,-16.13
2021-02-15,0.27,-9.25
2021-02-16,1.96,-7.03
2021-02-17,-0.25,-9.22
2021-02-18,-6.23,-13.6
2021-02-19,-1.94,-10.43
2021-02-20,-15.28,-26.11
2021-02-21,-16.08,-27.4
2021-02-22,1.22,-8.67
2021-02-23,-3.94,-13.62
2021-02-24,-11.76,-21.47
2021-02-25,-2.48,-12.63
2021-02-26,-0.65,-10.46
2021-02-27,-3.33,-14.9
2021-02-28,-6.19,-17.73
2021-03-01,1.51,-8.25
2021-03-02,4.84,-5.83
2021-03-03,4.49,-6.42
2021-03-04,5.48,-4.87
